customer_id,age,gender,city,branch,employment_type,annual_income,loan_type,loan_amount,loan_tenure_months,interest_rate,monthly_emi,credit_score,loan_purpose,loan_status,application_date,debt_to_income
PKB10001,29.0,Male,Lahore,Gulberg,Government,140000.0,Personal Loan,400000.0,60,13.25,9153.0,763.0,Business Expansion,Approved,2022-09-15 19:53:05.481852,0.785
PKB10002,63.0,Male,Sialkot,Cantt,Government,,Auto Loan,780000.0,48,20.78,24061.0,554.0,Medical,Approved,2021-01-15 08:57:04.280350,2.724
PKB10003,49.0,Male,Multan,Gulgasht,Salaried,63000.0,Business Loan,340000.0,24,16.18,16677.0,744.0,Education,Closed,2022-03-03 09:33:06.983729,3.177
PKB10004,52.0,Female,Rawalpindi,Bahria Town,Salaried,45000.0,Home Loan,920000.0,48,18.79,27406.0,508.0,Business Expansion,Rejected,2024-01-07 22:15:28.160200,7.308
PKB10005,30.0,Male,Karachi,DHA,Self-Employed,229000.0,Auto Loan,4610000.0,84,19.46,100877.0,747.0,Home Renovation,Defaulted,2023-04-01 20:32:44.455569,5.286
PKB10006,50.0,Female,Karachi,DHA,Business Owner,38000.0,Personal Loan,210000.0,12,13.11,18767.0,574.0,Business Expansion,Rejected,2022-04-23 12:02:42.202753,5.926
PKB10007,35.0,Male,Karachi,DHA,Self-Employed,134000.0,Business Loan,510000.0,24,14.35,24571.0,626.0,Wedding,Rejected,2022-11-15 12:20:43.554443,2.2
PKB10008,61.0,Female,peshawar,University Town,Business Owner,,Education Loan,450000.0,48,19.95,13682.0,588.0,Medical,Defaulted,2023-09-06 23:00:31.539424,6.081
PKB10009,62.0,Male,Rawalpindi,Saddar,Freelancer,151000.0,Personal Loan,540000.0,84,13.4,9941.0,741.0,Vehicle Purchase,Approved,2021-12-26 07:46:47.008760,0.79
PKB10010,43.0,Male,Faisalabad,Canal Road,Salaried,177000.0,Home Loan,1490000.0,12,19.22,137470.0,723.0,Electronics,Approved,2021-09-11 22:08:15.619524,9.32
PKB10011,32.0,Male,KARACHI,Saddar,Government,190000.0,Personal Loan,1070000.0,84,21.2,24540.0,662.0,Vehicle Purchase,Approved,2022-12-17 10:54:13.066332,1.55
PKB10012,44.0,Male,hyderabad,Latifabad,Government,90000.0,Auto Loan,1320000.0,36,16.91,47002.0,510.0,Business Expansion,Defaulted,2023-09-16 12:58:34.392991,6.267
PKB10013,22.0,Male,Peshawar,University Town,Freelancer,255000.0,Home Loan,750000.0,36,18.51,27307.0,552.0,Vehicle Purchase,Rejected,2024-04-14 08:15:37.171464,1.285
